Date,MinTemp,MaxTemp,Rainfall,Evaporation,Sunshine,WindGustSpeed,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Cloud9am,Cloud3pm,Temp9am,Temp3pm
2013-03-01,16.5,20.1,31.8,6.8,0.0,63.0,26.0,26.0,86.0,85.0,1014.4,1016.2,8.0,8.0,19.5,18.7
2013-03-02,17.9,23.1,15.2,6.2,0.1,57.0,30.0,31.0,73.0,78.0,1021.0,1020.8,7.0,8.0,19.0,20.1
2013-03-03,17.7,25.5,7.4,4.8,6.8,56.0,30.0,30.0,63.0,56.0,1021.6,1020.4,7.0,6.0,23.1,24.8
2013-03-04,19.5,26.1,4.4,6.6,9.6,39.0,22.0,22.0,53.0,49.0,1021.9,1020.9,3.0,3.0,23.7,25.1
2013-03-05,20.5,26.8,0.2,6.0,9.1,35.0,20.0,28.0,70.0,48.0,1021.7,1020.0,6.0,3.0,23.1,25.8
2013-03-06,20.2,27.3,0.0,7.4,7.6,39.0,6.0,24.0,78.0,55.0,1020.9,1018.4,7.0,3.0,21.6,25.6
2013-03-07,18.6,27.1,0.0,7.4,11.4,39.0,11.0,24.0,67.0,52.0,1019.9,1017.4,1.0,1.0,22.8,26.3
2013-03-08,20.3,26.8,0.0,7.8,6.1,31.0,9.0,20.0,67.0,57.0,1022.1,1020.5,4.0,4.0,22.4,26.2
2013-03-09,21.2,27.2,0.6,6.8,6.6,39.0,13.0,24.0,75.0,53.0,1021.3,1019.0,5.0,3.0,22.5,26.0
2013-03-10,19.6,28.0,0.0,7.4,9.8,35.0,7.0,20.0,67.0,49.0,1020.1,1017.5,5.0,5.0,22.3,25.5
2013-03-11,20.7,27.4,0.0,7.8,9.3,35.0,9.0,26.0,72.0,64.0,1020.7,1019.6,5.0,5.0,23.2,25.4
2013-03-12,20.4,26.4,0.0,6.4,7.9,30.0,13.0,19.0,78.0,58.0,1021.0,1018.4,7.0,2.0,21.9,25.7
2013-03-13,18.3,28.3,0.0,5.4,11.1,46.0,7.0,26.0,72.0,52.0,1014.5,1010.9,1.0,1.0,21.5,26.3
2013-03-14,20.8,24.3,0.0,7.8,1.3,43.0,7.0,11.0,72.0,68.0,1012.0,1011.2,6.0,7.0,23.1,24.0
2013-03-15,19.7,25.0,1.0,2.6,2.0,43.0,24.0,26.0,78.0,70.0,1016.1,1015.7,7.0,7.0,20.8,22.5
2013-03-16,20.1,28.7,0.2,4.2,10.7,31.0,11.0,20.0,70.0,65.0,1013.6,1008.9,1.0,3.0,23.3,25.8
2013-03-17,18.7,24.0,0.0,6.8,10.8,65.0,24.0,31.0,48.0,35.0,1013.0,1015.0,2.0,1.0,19.2,23.2
2013-03-18,13.9,23.8,0.0,8.6,10.2,41.0,20.0,24.0,55.0,44.0,1021.1,1020.2,2.0,2.0,16.8,22.3
2013-03-19,14.3,24.7,0.0,6.4,10.7,28.0,17.0,19.0,66.0,48.0,1024.2,1022.8,2.0,3.0,16.3,23.0
2013-03-20,16.1,24.8,0.0,5.4,9.9,37.0,13.0,20.0,71.0,53.0,1025.4,1022.3,3.0,3.0,19.3,24.5
2013-03-21,18.5,26.3,0.0,6.6,8.0,54.0,7.0,26.0,60.0,50.0,1019.4,1014.3,2.0,7.0,21.1,25.0
2013-03-22,21.1,31.8,0.0,6.8,4.4,59.0,20.0,20.0,56.0,41.0,1013.5,1011.0,6.0,7.0,26.1,31.5
2013-03-23,21.6,27.0,1.0,8.4,8.5,30.0,4.0,24.0,73.0,73.0,1016.5,1013.7,4.0,5.0,24.2,24.0
2013-03-24,20.6,28.4,0.8,4.8,10.5,28.0,9.0,17.0,71.0,65.0,1015.9,1011.5,1.0,1.0,22.6,26.4
2013-03-25,17.9,30.0,0.0,7.0,11.0,30.0,19.0,13.0,57.0,49.0,1018.3,1017.5,1.0,2.0,21.8,29.5
2013-03-26,20.6,26.9,0.0,4.4,4.3,39.0,9.0,24.0,83.0,73.0,1019.4,1016.3,7.0,7.0,21.7,25.5
2013-03-27,20.8,27.7,0.0,5.4,10.8,48.0,0.0,22.0,75.0,64.0,1019.0,1015.7,1.0,1.0,23.4,26.7
2013-03-28,21.5,33.5,0.0,7.0,7.3,37.0,2.0,11.0,71.0,34.0,1016.8,1012.1,1.0,7.0,23.4,30.9
2013-03-29,16.7,22.3,3.0,8.0,8.3,44.0,22.0,20.0,48.0,48.0,1018.5,1017.7,1.0,7.0,19.2,20.9
2013-03-30,14.8,23.6,0.0,5.2,10.6,35.0,13.0,24.0,62.0,53.0,1017.6,1012.8,1.0,6.0,18.7,22.6
2013-03-31,17.9,25.4,0.0,5.0,7.3,44.0,13.0,28.0,78.0,38.0,1011.4,1010.8,7.0,6.0,18.3,24.4
2013-04-01,17.4,24.3,2.8,6.6,5.8,26.0,13.0,17.0,83.0,56.0,1017.9,1015.5,6.0,3.0,18.6,23.5
2013-04-02,16.3,26.2,0.0,3.8,10.9,39.0,19.0,19.0,67.0,41.0,1016.0,1013.8,0.0,2.0,19.0,25.4
2013-04-03,17.0,18.6,27.4,6.6,0.0,48.0,22.0,20.0,88.0,79.0,1020.9,1021.7,7.0,8.0,17.0,18.0
2013-04-04,15.7,20.9,61.4,5.0,0.4,31.0,17.0,9.0,93.0,89.0,1028.2,1027.8,8.0,8.0,16.6,17.7
2013-04-05,15.6,23.6,18.4,0.8,4.3,24.0,9.0,7.0,83.0,55.0,1030.4,1028.4,7.0,6.0,17.5,22.9
2013-04-06,15.6,20.6,2.4,3.6,1.6,31.0,11.0,6.0,93.0,75.0,1028.0,1025.2,5.0,7.0,17.0,18.8
2013-04-07,14.2,22.7,3.8,2.4,7.0,22.0,9.0,15.0,73.0,62.0,1024.5,1021.6,3.0,3.0,19.0,22.2
2013-04-08,14.6,24.2,2.0,3.4,8.3,26.0,15.0,17.0,72.0,61.0,1025.3,1023.9,1.0,6.0,18.4,22.5
2013-04-09,15.6,22.0,5.2,2.4,3.6,24.0,15.0,6.0,90.0,73.0,1026.7,1024.3,6.0,3.0,16.7,20.7
2013-04-10,14.4,24.1,2.0,2.2,10.4,30.0,13.0,20.0,72.0,57.0,1024.8,1021.3,1.0,2.0,18.9,23.0
2013-04-11,15.2,25.3,0.0,4.6,10.8,26.0,13.0,17.0,71.0,43.0,1023.5,1021.6,1.0,1.0,19.0,24.7
2013-04-12,15.6,26.0,0.0,4.4,10.3,31.0,13.0,19.0,73.0,47.0,1025.9,1022.8,1.0,1.0,19.7,24.2
2013-04-13,15.7,25.4,0.0,4.8,10.7,35.0,17.0,22.0,71.0,55.0,1021.5,1016.4,1.0,1.0,19.6,23.7
